elevasi;volume;area;;;;;;;;;;
229.28;4.247.769.80;3.863.060.94;;;;;;;;;;
229.29;4.286.534.13;3.889.804.66;;;;;;;;;;
229.30;4.325.565.89;3.916.548.39;;;;;;;;;;
229.31;4.364.865.10;3.943.292.12;;;;;;;;;;
229.32;4.404.431.74;3.970.035.85;;;;;;;;;;
229.33;4.444.265.81;3.996.779.58;;;;;;;;;;
229.34;4.484.367.33;4.023.523.30;;;;;;;;;;
229.35;4.524.736.28;4.050.267.03;;;;;;;;;;
229.36;4.565.372.67;4.077.010.76;;;;;;;;;;
229.37;4.606.276.49;4.103.754.49;;;;;;;;;;
229.38;4.647.447.76;4.130.498.22;;;;;;;;;;
229.39;4.688.886.46;4.157.241.95;;;;;;;;;;
229.40;4.730.592.60;4.183.985.67;;;;;;;;;;
229.41;4.772.566.17;4.210.729.40;;;;;;;;;;
229.42;4.814.807.18;4.237.473.13;;;;;;;;;;
229.43;4.857.315.63;4.264.216.86;;;;;;;;;;
229.44;4.900.091.52;4.290.960.59;;;;;;;;;;
229.45;4.943.134.85;4.317.704.31;;;;;;;;;;
229.46;4.986.445.61;4.344.448.04;;;;;;;;;;
229.47;5.030.023.81;4.371.191.77;;;;;;;;;;
229.48;5.073.869.44;4.397.935.50;;;;;;;;;;
229.49;5.117.982.52;4.424.679.23;;;;;;;;;;
229.50;5.162.363.03;4.451.422.95;;;;;;;;;;
229.51;5.207.010.98;4.478.166.68;;;;;;;;;;
229.52;5.251.926.36;4.504.910.41;;;;;;;;;;
229.53;5.297.109.18;4.531.654.14;;;;;;;;;;
229.54;5.342.559.44;4.558.397.87;;;;;;;;;;
229.55;5.388.277.14;4.585.141.60;;;;;;;;;;
229.56;5.434.262.28;4.611.885.32;;;;;;;;;;
229.57;5.480.514.85;4.638.629.05;;;;;;;;;;
